iter	Logloss
0	0.6800380162
1	0.6697859628
2	0.656275395
3	0.6433611734
4	0.6289393834
5	0.6170188359
6	0.6052963257
7	0.5940306527
8	0.5886157445
9	0.5768845694
10	0.5709920611
11	0.5648985726
12	0.558380018
13	0.5488585336
14	0.5429841723
15	0.5349752699
16	0.5279600961
17	0.5238106864
18	0.516267068
19	0.5101020813
20	0.5032520839
21	0.4982100351
22	0.4931285313
23	0.4882149288
24	0.4816566467
25	0.4737028394
26	0.4685264042
27	0.463886479
28	0.4573908125
29	0.4536645344
30	0.4506271362
31	0.4450875963
32	0.4403751646
33	0.43425154
34	0.4304305485
35	0.4243044989
36	0.41864248
37	0.4129378183
38	0.4088836125
39	0.4046741758
40	0.4009022304
41	0.3968914577
42	0.393440846
43	0.3908225468
44	0.386882564
45	0.3833879198
46	0.3785839081
47	0.3741456441
48	0.3710502625
49	0.3672054018550	0.3625566755
51	0.3593205316
52	0.3567904336
53	0.3534852164
54	0.3502487183555	0.3463133676556	0.3435713087557	0.3407349178558	0.338006837559	0.335375486160	0.3423608507
61	0.3402445384
62	0.3377920696
63	0.3351735251
64	0.3335301535
65	0.3309450422
66	0.3284796579
67	0.3264125824
68	0.325241606666969	0.3232104437070	0.3207290107171	0.3187420987272	0.3164166587373	0.3137146541
74	0.3121425084
75	0.3094206129
76	0.3075666428
77	0.3054205758
78	0.3035068512
79	0.3018810545
80	0.3002338954
81	0.2982151031
82	0.2960350309
83	0.2934840066
84	0.2915697915
85	0.2897639411
86	0.287871933
87	0.285666057
88	0.2834396907
89	0.2809203012
90	0.2788685117
91	0.2766037805
92	0.2742497035
93	0.272448567
94	0.2706961223
95	0.2686491013
96	0.2668589183
97	0.2659364973
98	0.2635888236
99	0.2623398917
696797
