iter	Passed	Remaining
0	10	1082
1	20	980
22	44	1423	68	1651
4	84	1610
5	132	2081
6	6	142	1897	7	151	1748	189	1916
9	9	248	2240
10	285	2308
11	338	2482
12	353	2367
13	367	2254
14	384	2179
15	399	2097
16	412	2015
17	422	1923
18	435	1857
19	450	1802
20	462	1741
21	475	1686
22	486	1628
23	501	1587
24	514	1542
25	524	1493
26	537	1454
27	552	1421
28	568	1391
29	580	1355
30	593	1320
31	601	1278
32	616	1252
33	630	1223
34	642	1192
35	649	1153636	670	1141
37	686	1119
38	700	1095
39	715	1072
40	728	1048
41	742	1025
42	751	995
43	765	974
44	777	949
45	787	924
46	798	900
47	812	848	48	825	849	49	835	850	50	849	851	51	863	752	52	875	753	53	892	760
54	908	743
55	918	756	56	942	710
57	957	693
58	969	673
59	981	654660	9960	10461	10461	10662	10662	10763	10763	10964	10964	11065	11065	11166	11266	11367	11467	11568	11668	11669	1180	505
70	1192	487
71	1207	469
72	1229	454
73	1243	436
74	1258	419
75	1275	402
76	1304	389
77	1320	372
78	1338	355
79	1361	340
80	1372	321
81	1381	303
82	1392	285
83	1404	267
84	1414	249
85	1422	231
86	1432	214
87	1440	196
88	1451	179
89	1467	163
90	1475	145
91	1485	129
92	1498	112
93	1504	96
94	1514	79
95	1521	63
96	1530	47
97	1533	31
98	1537	15
99	1540	0
534	0
